,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,LastGame_home,LastGame_away,PastShot_home,PastShot_away,PastGoaldiff_home,PastGoaldiff_away
0,24,5,14,4,11,8,7,5,0,0,0,0,1500.0,1500.0,7,7,121,121,0,0
1,14,8,8,2,13,12,4,3,1,2,0,0,1500.0,1500.0,7,7,121,121,0,0
2,10,15,5,11,11,9,3,5,2,2,0,0,1500.0,1500.0,7,7,121,121,0,0
3,11,12,6,6,10,9,5,6,3,0,0,0,1500.0,1500.0,7,7,121,121,0,0
4,14,8,10,5,11,12,7,9,1,2,0,0,1500.0,1500.0,7,7,121,121,0,0
5,6,14,3,8,13,12,1,8,0,2,0,0,1500.0,1500.0,7,7,121,121,0,0
6,15,22,8,9,14,11,6,10,2,1,0,0,1500.0,1500.0,7,7,121,121,0,0
7,14,13,10,8,8,11,7,8,0,1,0,0,1500.0,1500.0,7,7,121,121,0,0
8,18,12,11,8,10,6,8,3,0,1,0,0,1500.0,1500.0,7,7,121,121,0,0
9,18,11,12,4,15,11,6,6,3,0,0,0,1500.0,1500.0,7,7,121,121,0,0
10,12,7,5,4,11,15,6,3,0,1,0,0,1512.8548629678016,1507.1314292639636,7,7,15,11,1,1
11,5,15,2,6,14,6,1,5,2,0,0,0,1492.8685707360364,1507.1987000039423,7,7,12,121,-1,0
12,16,9,8,4,10,12,14,3,2,1,0,0,1512.9381494701147,1507.1036239627197,7,7,14,14,1,1
13,10,9,8,4,8,13,4,6,1,2,0,0,1503.1160968810407,1512.5726755751762,6,7,11,14,0,2
14,8,5,2,2,15,5,2,8,1,0,0,0,1487.4273244248238,1507.0086986903218,7,6,8,14,-2,2
15,18,12,11,7,12,12,12,6,1,2,0,0,1492.8963760372803,1487.0618505298853,7,7,8,6,-1,-1
16,14,9,4,7,11,14,11,5,3,1,0,0,1492.8012999960577,1487.1451370321984,7,7,121,10,0,-1
17,14,3,9,0,12,16,6,3,0,2,0,1,1492.9913013096782,1510.5684892287768,7,8,13,15,-2,1
18,10,7,6,3,13,17,7,7,1,2,0,0,1489.4315107712232,1512.1766602949394,8,7,22,18,-1,4
19,13,12,6,7,11,11,4,3,2,2,0,0,1487.8233397050606,1496.8839031189593,8,8,12,18,-4,0
20,20,4,14,2,12,11,12,1,2,2,0,0,1500.0697578067613,1509.9530775661553,7,7,15,21,-1,1
21,18,12,9,7,18,16,7,5,2,2,0,0,1505.7356948900615,1478.9610813904933,7,7,23,14,1,-1
22,16,6,7,5,5,11,4,3,1,0,0,0,1500.9853556377627,1474.1721526820038,7,5,19,25,0,-5
23,10,8,5,5,18,12,7,3,1,0,0,0,1510.4625421965168,1476.1743420120242,7,6,18,32,1,-2
24,21,7,12,2,14,18,4,5,2,4,0,1,1500.5715281441778,1494.4264103221442,7,7,23,16,0,-1
25,11,12,6,7,14,21,10,4,1,5,0,0,1503.8849750392733,1509.5237500352484,6,7,18,27,-2,1
26,5,8,2,3,9,13,5,8,0,2,0,0,1500.0096127930015,1519.4702452886565,8,8,19,30,1,2
27,12,6,3,6,10,13,5,8,3,0,0,0,1525.4338290541384,1479.1353461566657,7,8,25,26,5,-2
28,10,9,4,8,20,11,3,3,4,2,0,0,1500.8228804105,1499.6748154991817,8,7,18,27,0,1
29,10,17,3,10,8,8,5,5,1,1,0,0,1503.2461022775287,1509.5923571235603,14,14,39,35,-2,2
30,20,8,13,7,15,11,12,6,1,1,0,0,1499.9975129332174,1501.171268865221,21,14,17,41,0,1
